"2012.02.14","05:30","GBP","L","Core CPI y/y","2.6%","2.7%","3.0%","","40225"
"2012.03.20","05:30","GBP","H","CPI y/y","3.4%","3.4%","3.6%","","40231"
"2012.03.20","05:30","GBP","L","Core CPI y/y","2.4%","2.4%","2.6%","","40232"
"2012.04.17","04:30","GBP","H","CPI y/y","3.5%","3.5%","3.4%","","40239"
"2012.04.17","04:30","GBP","L","Core CPI y/y","2.5%","2.4%","2.4%","","40240"
"2012.05.22","04:30","GBP","H","CPI y/y","3.0%","3.1%","3.5%","","40244"
"2012.05.22","04:30","GBP","L","Core CPI y/y","2.1%","2.2%","2.5%","","40246"
"2012.06.19","04:30","GBP","H","CPI y/y","2.8%","3.0%","3.0%","","40252"
"2012.06.19","04:30","GBP","L","Core CPI y/y","2.2%","2.3%","2.1%","","40253"
"2012.07.17","04:30","GBP","H","CPI y/y","2.4%","2.8%","2.8%","","40259"
"2012.07.17","04:30","GBP","L","Core CPI y/y","2.1%","2.3%","2.2%","","40260"
"2012.08.14","04:30","GBP","H","CPI y/y","2.6%","2.3%","2.4%","","40266"
"2012.08.14","04:30","GBP","L","Core CPI y/y","2.3%","2.1%","2.1%","","40267"
"2012.09.18","04:30","GBP","H","CPI y/y","2.5%","2.5%","2.6%","","40273"
"2012.09.18","04:30","GBP","L","Core CPI y/y","2.1%","2.2%","2.3%","","40274"
"2012.10.16","04:30","GBP","H","CPI y/y","2.2%","2.2%","2.5%","","40281"
"2012.10.16","04:30","GBP","L","Core CPI y/y","2.1%","2.1%","2.1%","","40280"
"2012.11.13","05:30","GBP","H","CPI y/y","2.7%","2.3%","2.2%","","40287"
"2012.11.13","05:30","GBP","L","Core CPI y/y","2.6%","2.2%","2.1%","","40288"
"2012.12.18","05:30","GBP","H","CPI y/y","2.7%","2.6%","2.7%","","40294"
"2012.12.18","05:30","GBP","L","Core CPI y/y","2.6%","2.7%","2.6%","","40295"
"2013.01.15","05:30","GBP","H","CPI y/y","2.7%","2.7%","2.7%","","46049"
"2013.01.15","05:30","GBP","L","Core CPI y/y","2.4%","2.6%","2.6%","","46061"
"2013.02.12","05:30","GBP","H","CPI y/y","2.7%","2.7%","2.7%","","46050"
"2013.02.12","05:30","GBP","L","Core CPI y/y","2.3%","2.4%","2.4%","","46062"
"2013.03.19","05:30","GBP","H","CPI y/y","2.8%","2.8%","2.7%","","46051"
"2013.03.19","05:30","GBP","L","Core CPI y/y","2.3%","2.2%","2.3%","","46063"
"2013.04.16","04:30","GBP","H","CPI y/y","2.8%","2.8%","2.8%","","46052"
"2013.04.16","04:30","GBP","L","Core CPI y/y","2.4%","2.3%","2.3%","","46064"
"2013.05.21","04:30","GBP","H","CPI y/y","2.4%","2.6%","2.8%","","46053"
"2013.05.21","04:30","GBP","L","Core CPI y/y","2.0%","2.3%","2.4%","","46065"
"2013.06.18","04:30","GBP","H","CPI y/y","2.7%","2.6%","2.4%","","46055"
"2013.06.18","04:30","GBP","L","Core CPI y/y","2.2%","2.1%","2.0%","","46066"
"2013.07.16","04:30","GBP","H","CPI y/y","2.9%","3.0%","2.7%","","46054"
"2013.07.16","04:30","GBP","L","Core CPI y/y","2.3%","2.3%","2.2%","","46067"
"2013.08.13","04:30","GBP","H","CPI y/y","2.8%","2.8%","2.9%","","46056"
"2013.08.13","04:30","GBP","L","Core CPI y/y","2.0%","2.3%","2.3%","","46068"
"2013.09.17","04:30","GBP","H","CPI y/y","2.7%","2.7%","2.8%","","46057"
"2013.09.17","04:30","GBP","L","Core CPI y/y","2.0%","2.1%","2.0%","","46069"
"2013.10.15","04:30","GBP","H","CPI y/y","2.7%","2.6%","2.7%","","46058"
"2013.10.15","04:30","GBP","L","Core CPI y/y","2.2%","2.0%","2.0%","","46070"
"2013.11.12","05:30","GBP","H","CPI y/y","2.2%","2.5%","2.7%","","46059"
"2013.11.12","05:30","GBP","L","Core CPI y/y","1.7%","2.0%","2.2%","","46071"
"2013.12.17","05:30","GBP","H","CPI y/y","2.1%","2.2%","2.2%","","46060"
"2013.12.17","05:30","GBP","L","Core CPI y/y","1.8%","1.8%","1.7%","","46072"
"2014.01.14","05:30","GBP","H","CPI y/y","2.0%","2.1%","2.1%","","51673"
"2014.01.14","05:30","GBP","L","Core CPI y/y","1.7%","1.8%","1.8%","","51671"
"2014.02.18","05:30","GBP","H","CPI y/y","1.9%","2.0%","2.0%","","51681"
"2014.02.18","05:30","GBP","L","Core CPI y/y","1.6%","1.9%","1.7%","","51680"
"2014.03.25","05:30","GBP","H","CPI y/y","1.7%","1.7%","1.9%","","51684"
"2014.03.25","05:30","GBP","L","Core CPI y/y","1.7%","1.6%","1.6%","","51683"
"2014.04.15","04:30","GBP","H","CPI y/y","1.6%","1.6%","1.7%","","51690"
"2014.04.15","04:30","GBP","L","Core CPI y/y","1.6%","1.6%","1.7%","","51689"
"2014.05.20","04:30","GBP","H","CPI y/y","1.8%","1.7%","1.6%","","51696"
"2014.05.20","04:30","GBP","L","Core CPI y/y","2.0%","1.8%","1.6%","","51695"
"2014.06.17","04:30","GBP","H","CPI y/y","1.5%","1.7%","1.8%","","51704"
"2014.06.17","04:30","GBP","L","Core CPI y/y","1.6%","1.7%","2.0%","","51703"
"2014.07.15","04:30","GBP","H","CPI y/y","1.9%","1.6%","1.5%","","51708"
"2014.07.15","04:30","GBP","L","Core CPI y/y","2.0%","1.7%","1.6%","","51707"
"2014.08.19","04:30","GBP","H","CPI y/y","1.6%","1.8%","1.9%","","51718"
"2014.08.19","04:30","GBP","L","Core CPI y/y","1.8%","1.9%","2.0%","","51717"
"2014.09.16","04:30","GBP","H","CPI y/y","1.5%","1.5%","1.6%","","51720"
"2014.09.16","04:30","GBP","L","Core CPI y/y","1.9%","1.8%","1.8%","","51719"
"2014.10.14","04:30","GBP","H","CPI y/y","1.2%","1.4%","1.5%","","51730"
"2014.10.14","04:30","GBP","L","Core CPI y/y","1.5%","1.8%","1.9%","","51729"
"2014.11.18","05:30","GBP","H","CPI y/y","1.3%","1.2%","1.2%","","51731"
